name,address,city,state,zip,size,price,notes
St. Johnâ€™s,14485 NW Walker Rd,Beaverton,OR,97006,,,current
Chinese Evangelical Church,5529 NE Century Blvd,Hillsboro,OR,,5.32,,
,NE Belknap Court,Hillsboro,OR,,3.9,"$2,050,000.00",
,6220 NE Pubols St,Hillsboro,OR,97124,5.01,,
,NE 25th Ave & Northeast Beacon Court ,Hillsboro,OR,,9.83,"$2,528,876.00",
,NE WAGON DRIVE + NE CROENI AVENUE,,OR,,12.74,,
,NE STARR BLVD @ NE HUFFMAN ROAD,Hillsboro,OR,,8.464,,
,4825 NE STARR BLVD,Hillsboro,OR,,3.34,"$2,618,827.00",
,4825 NE SEWELL AVENUE,,OR,,5.72,"$2,240,000.00",
,5830-5870 NE Brookwood Pky,,OR,,19.2,,
,24220 SW Tualatin Valley Hwy,,OR,,7.76,"$2,950,000.00",
,3237-3295 NE Evergreen Road,Hillsboro,OR,,6.94,,
,Parcel 1N21900-00400,Hillsboro,OR,97124,9.09,,
,3555 NE EVERGREEN ROAD,Hillsboro,OR,,16,,
,4825 NE Sewell Ave,,OR,,5.72,"$2,240,000.00",
,16165 SW Pacific Hwy,King City,OR,97224,3.75,"$3,500,000.00",
Nexus Church Campus,6100 SW Raab Rd,Portland,OR,97221,18.12,"$9,750,000.00",
Underwood Property,3011 170th Ave,,OR,,3.26,"$3,725,000.00",
,3140 SW 209th Ave,Beaverton,OR,97003,3.01,,
,SW Barnes Road and West Stark Street,Beaverton,OR,97229,3.37,,
,4622 SW 229th Ave,Beaverton,OR,,12.4,,
,7385 SW 189TH AVE,Beaverton,OR,,5.26,,
,3140 SW 209th Ave,Beaverton,OR,,3.01,,
,17800 NW Germantown Rd.,Portland,OR,97229,10,"$995,000.00",
,45157 NW David Hill Rd,Forest Grove,OR,,22.8,,
,0 David Hill RD,Forest Grove,OR,,22.2,,
,22900 SW Murdock Rd,Sherwood,OR,,12.36,,
Walnut & Sevllia - NW Site,SW Walnut St & SW Sevilla Ave,Tigard,OR,,3.76,"$982,000.00",
Walnut & Sevilla - SE Site,SW Walnut St & SW Sevilla Ave,Tigard,OR,,5.61,"$1,800,000.00",
,18315-18245 SW PACIFIC HIGHWAY 99,Tualatin,OR,,4.5,"$3,500,000.00",
